date,kpi_total_index,kpi_energy_index,cpi_yoy,cpi_energy_yoy
2007-04-01,86.27,84.41,1.9258034026464976,3.90201870999507
2007-05-01,86.17,84.14,1.651527663088359,3.5441791779473153
2007-06-01,86.31,84.29,1.8527259853670097,3.6394934218615616
2007-07-01,86.18,84.69,1.8676122931442274,3.3435021354484284
2007-08-01,86.15,84.9,1.7599811008740973,3.0715066164865856
2007-09-01,87.01,85.73,2.18438050499119,3.2642736689954432
2007-10-01,87.48,86.12,2.724283701268204,4.072507552870097
2007-11-01,88.04,87.08,3.2485047496188635,4.387437065451927
2007-12-01,88.21,87.64,3.4478714671044797,5.2859202306583475
2008-01-01,87.56,88.09,3.206034889203213,4.906514231273085
2008-02-01,87.92,88.33,3.107775301981941,5.092207019631179
2008-03-01,88.76,88.94,3.413724804846807,5.792791721184742
2008-04-01,89.15,89.56,3.338356323171454,6.101172846819103
2008-05-01,89.5,89.64,3.8644539863061267,6.536724506774427
2008-06-01,89.93,90.7,4.194183756227554,7.604698066200011
2008-07-01,89.74,91.96,4.130888837317226,8.584248435470542
2008-08-01,89.89,92.46,4.341265235055136,8.904593639575964
2008-09-01,90.82,93.49,4.378807033674281,9.051673859792352
2008-10-01,90.96,94.75,3.97805212620026,10.020901068276821
2008-11-01,90.22,93.55,2.4761472058155265,7.429949471750108
2008-12-01,89.0,89.4,0.8955900691531626,2.0082154267457852
2009-01-01,88.67,90.04,1.2677021470991257,2.2136451356567166
2009-02-01,88.69,88.43,0.8757961783439461,0.11321181931394086
2009-03-01,88.95,87.68,0.214060387561954,-1.4166854058916045
2009-04-01,89.09,87.37,-0.06730229949523103,-2.4452880750334915
2009-05-01,88.86,85.58,-0.7150837988826875,-4.529228023203924
2009-06-01,89.07,85.85,-0.956299343934186,-5.3472987872105975
2009-07-01,88.66,84.9,-1.2034767104969868,-7.677250978686367
2009-08-01,88.84,84.96,-1.1680943375236397,-8.111615833874108
2009-09-01,89.12,84.51,-1.8718343977097485,-9.605305380254558
2009-10-01,89.34,84.32,-1.781002638522422,-11.007915567282334
2009-11-01,89.32,84.15,-0.9975615162935103,-10.048102618920352
2009-12-01,89.52,84.55,0.5842696629213329,-5.425055928411638
2010-01-01,88.95,84.82,0.31577760234577923,-5.797423367392285
2010-02-01,89.49,85.6,0.9020182658698861,-3.2002714011082345
2010-03-01,89.7,84.82,0.8431703204047292,-3.2618613138686303
2010-04-01,89.72,84.45,0.7071500729599167,-3.342108275151656
2010-05-01,89.88,84.84,1.1478730587440866,-0.8646880112175737
2010-06-01,89.9,85.24,0.9318513528685513,-0.7105416423995314
2010-07-01,89.62,85.66,1.0827881795623773,0.8951707891637017
2010-08-01,89.63,85.77,0.8892390814948081,0.9533898305084776
2010-09-01,90.38,86.45,1.4138240574506078,2.2955863211454153
2010-10-01,90.67,86.66,1.4886948735169048,2.7751423149905197
2010-11-01,90.97,87.45,1.8472906403941058,3.9215686274509665
2010-12-01,91.61,89.03,2.3346738159070624,5.298639858072152
2011-01-01,91.14,90.9,2.46205733558178,7.168120726243821
2011-02-01,91.69,91.4,2.4583752374567114,6.775700934579443
2011-03-01,92.32,92.56,2.9208472686733433,9.125206319264345
2011-04-01,92.71,92.73,3.332590280873826,9.804618117229126
2011-05-01,92.88,93.34,3.337783711615483,10.018859028760009
2011-06-01,92.67,93.36,3.0812013348164635,9.526044110746135
2011-07-01,92.62,93.66,3.347467083240341,9.339248190520655
2011-08-01,92.65,94.01,3.369407564431559,9.607088725661672
2011-09-01,93.3,93.91,3.2308032750608673,8.62926547137073
